OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
33473,1997,CA,CCO,KRN,MIDWAY,00000000,1997/06/21 00:00:00+00,,,8034.08300781,1,48835733.5535013,36586.9666491894
33815,1993,CA,CDF,RRU,CALIFORNIA,00049416,1993/10/26 00:00:00+00,,,24433.99023438,1,143021572.555615,73399.5736819848
33817,1993,CA,CDF,RRU,REPPLIER,00050559,1993/11/02 00:00:00+00,,,5994.22900391,1,35353348.8506591,31847.2033714342
33818,1993,CA,CDF,BDU, ,00066837,1993/10/27 00:00:00+00,,,5582.29150391,1,32996113.8118365,25565.3122495698
33819,1993,CA,CDF,MVU,EAGLE,00001642,1993/05/14 00:00:00+00,,,5204.02197266,1,30009828.7440673,56719.1990064838
33933,1999,CA,CCO,SBC,SPANISH,00000000,1999/07/18 00:00:00+00,,,22295.85546875,1,134786522.832756,69083.3636757359
34031,1999,CA,USF,TNF,PENDOLA,00000000,1999/10/16 00:00:00+00,1999/10/25 00:00:00+00,11725,12324.30664063,1,83716645.2846268,106664.181510112
34347,1999,CA,USF,LPF,KIRK,00000000,1999/09/08 00:00:00+00,1999/11/12 00:00:00+00,86700,85834.9140625,1,533816285.883506,317126.100069738
34398,1999,CA,CDF,TGU,SPRING,00002680,1999/08/23 00:00:00+00,,,6456.05273438,1,45077769.5139089,44918.7303561
34463,1996,CA,CCO,VNC,GRAND,00000000,1996/07/02 00:00:00+00,,,10949.52246094,1,65285307.6239954,49417.7793849887
34505,1993,CA,CCO,KRN,ORCHARD,00000000,1993/06/21 00:00:00+00,,,19969.12890625,1,122908871.098697,49747.8806729692
34509,1993,CA,CCO,VNC,STECKEL,00000000,1993/10/27 00:00:00+00,,265000,27084.61523438,1,161319324.338738,75422.4971406822
34511,1993,CA,CCO,VNC,GREEN MEADOWS,00000000,1993/10/26 00:00:00+00,,,38479.125,1,227746486.024873,143291.182283954
34531,1994,CA,USF,CNF,SECOND,00000000,1994/06/26 00:00:00+00,1994/07/16 00:00:00+00,5120,5779.10302734,1,33479489.6223997,34176.5980382369
34534,1995,CA,USF,CNF,EL MONTE,00000000,1995/08/27 00:00:00+00,1995/09/03 00:00:00+00,8100,8564.2421875,1,49314109.0502525,53407.5182679218
34548,1998,CA,USF,SRF, ,00000000,1998/10/01 00:00:00+00,,,11140.89941406,1,80022426.8999552,51256.1176059454
